order_id,order_date,ship_date,customer_id,customer_name,segment,region,state,city,category,sub_category,product_name,ship_mode,quantity,unit_price,discount,sales,cost,profit,payment_status,order_status,calculated_sales,sales_mismatch
ORD-2024-10001,2024-07-21,2024-07-27,CUST-4655,Karan Malhotra,Consumer,North,Rajasthan,Jaipur,Office Supplies,Paper,Pro Paper 122,Second Class,8,2976.45,0.2,19049.28,15841.89,3207.39,Paid,Completed,19049.28,False
ORD-2024-10002,2024-08-31,2024-09-05,CUST-2054,Mira Das,Small Business,East,Odisha,Bhubaneswar,Furniture,Tables,Pro Tables 258,Same Day,3,2437.5,0.0,7312.5,4904.73,2407.77,Paid,Completed,7312.5,False
ORD-2024-10003,2024-06-08,2024-06-15,CUST-6843,Isha Nair,Consumer,East,Odisha,Bhubaneswar,Office Supplies,Art,Elite Art 525,First Class,4,1065.43,0.25,4261.72,2465.69,1796.03,Paid,Completed,3196.29,True
ORD-2024-10004,2024-11-28,2024-11-29,CUST-3722,Arjun Bose,Small Business,South,Telangana,Hyderabad,Furniture,Furnishings,Smart Furnishings 294,Standard Class,6,1848.43,0.25,8317.93,6796.77,1521.16,Paid,Completed,8317.94,False
ORD-2025-10005,2025-08-29,2025-09-01,CUST-8130,Ananya Rao,Small Business,West,Maharashtra,Mumbai,Furniture,Chairs,Elite Chairs 543,First Class,7,2973.76,0.0,20816.32,17705.37,3110.95,Paid,Cancelled,20816.32,False
ORD-2024-10006,2024-05-24,2024-05-28,CUST-6056,Vikram Iyer,Small Business,West,Madhya Pradesh,Indore,Technology,Accessories,Pro Accessories 821,Same Day,3,1053.11,0.2,2527.46,1533.58,993.88,Paid,Completed,2527.46,False
ORD-2025-10007,2025-04-10,2025-04-16,CUST-3656,Neha Gupta,Consumer,East,Odisha,Bhubaneswar,Technology,Copiers,Eco Copiers 790,Standard Class,4,1719.87,0.15,5847.56,4727.25,1120.31,Paid,Completed,5847.56,False
ORD-2025-10008,2025-02-23,2025-02-26,CUST-4683,Isha Nair,Small Business,South,Andhra Pradesh,Vijayawada,Office Supplies,Art,Eco Art 848,First Class,1,2980.71,0.0,2980.71,2357.22,623.49,Paid,Completed,2980.71,False
ORD-2024-10009,2024-11-05,2024-11-10,CUST-2598,Aditi Sen,Corporate,South,Telangana,Hyderabad,Office Supplies,Labels,Classic Labels 815,First Class,8,3134.2,0.0,25073.6,17347.23,7726.37,Paid,Completed,25073.6,False
ORD-2025-10010,2025-09-07,2025-09-12,CUST-2483,Mira Das,Home Office,South,Telangana,Hyderabad,Office Supplies,Paper,Pro Paper 622,Second Class,9,852.04,0.2,6134.69,3800.19,2334.5,Paid,Completed,6134.69,False
ORD-2025-10011,2025-05-20,2025-05-20,CUST-8092,Ananya Rao,Corporate,East,West Bengal,Kolkata,Office Supplies,Labels,Prime Labels 644,Second Class,3,3534.83,0.05,10074.27,6048.27,4026.0,Refunded,Returned,10074.27,False
ORD-2024-10012,2024-07-22,2024-07-23,CUST-6528,Vikram Iyer,Small Business,East,Odisha,Bhubaneswar,Technology,Accessories,Smart Accessories 603,Same Day,6,2005.95,0.2,9628.56,8038.59,1589.97,Paid,Completed,9628.56,False
ORD-2024-10013,2024-12-20,2024-12-21,CUST-2648,Ananya Rao,Corporate,West,Rajasthan,Udaipur,Office Supplies,Paper,Pro Paper 481,First Class,1,702.14,0.15,596.82,380.25,216.57,Pending,Returned,596.82,False
ORD-2025-10014,2025-10-12,2025-10-16,CUST-7482,Priya Menon,Small Business,West,Maharashtra,Mumbai,Office Supplies,Art,Smart Art 795,Second Class,7,3964.72,0.05,26365.39,22306.24,4059.15,Paid,Completed,26365.39,False
ORD-2024-10015,2024-12-27,2024-12-28,CUST-4912,Rahul Verma,Consumer,West,Rajasthan,Udaipur,Technology,Copiers,Max Copiers 983,Standard Class,2,2737.83,0.25,4106.74,2666.3,1440.44,Paid,Completed,4106.74,False
ORD-2024-10016,2024-07-09,2024-07-09,CUST-7656,Karan Malhotra,Small Business,North,Punjab,Ludhiana,Office Supplies,Storage,Classic Storage 198,Second Class,6,3965.76,0.0,23794.56,15698.47,8096.09,Paid,Completed,23794.56,False
ORD-2024-10017,2024-05-08,2024-05-15,CUST-6214,Aarav Sharma,Consumer,South,Telangana,Hyderabad,Office Supplies,Art,Basic Art 204,First Class,4,3323.51,0.25,9970.53,5668.17,4302.36,Paid,Completed,9970.53,False
ORD-2024-10018,2024-01-07,2024-01-08,CUST-1626,Sneha Kapoor,Small Business,North,Rajasthan,Jaipur,Furniture,Furnishings,Basic Furnishings 434,Same Day,5,1526.78,0.0,7633.9,4706.91,2926.99,Paid,Completed,7633.9,False
ORD-2025-10019,2025-07-15,2025-07-17,CUST-2110,Aarav Sharma,Home Office,North,Uttar Pradesh,Noida,Technology,Copiers,Eco Copiers 755,First Class,2,1997.99,0.0,3995.98,2633.2,1362.78,Refunded,Cancelled,3995.98,False
